"example_id","query_id","query","product_id","product_title","esci_label","sim_orig","sim_adv","delta_held_out","rank_orig","rank_adv","rank_lift"
353787,16932,"black woven storage basket","B08D73WPCZ","Joyeen Small Plastic Weave Baskets, Storage Bins, 6 Pack","E",0.24943125247955322,0.2751771807670593,0.025745928287506104,1,1,0
117382,4818,"5xl carhartt shirts for men big and tall","B07KBQQ43F","Carhartt Men's Rugged Flex Rigby Short Sleeve Work Shirt, Gravel, X-Large","E",0.23332108557224274,0.30902227759361267,0.07570119202136993,1,1,0
1391488,70694,"morral táctico 5.11","B004D1UPIY","5.11 RUSH MOAB 6 Tactical Sling Pack Military Molle Backpack Bag, Style 56963, Black","E",0.22126631438732147,0.22657853364944458,0.005312219262123108,2,2,0
387586,18639,"bose earbuds","B08CJCTG6Z","Bose Sport Earbuds - Wireless Earphones - Bluetooth In Ear Headphones for Workouts and Running, Triple Black","E",0.26267096400260925,0.36290261149406433,0.10023164749145508,2,1,1
1902867,97309,"ssd hard drive internal","B072R78B6Q","SanDisk Ultra 3D SSD de 500 GB con hasta 560 MB/s de velocidad de lectura / hasta 530 MB/s de velocidad de escritura","E",0.23496180772781372,0.23482868075370789,-0.00013312697410583496,2,2,0
1567443,79800,"picture hangers without nails heavy duty","B073XR4X72","Command Large Picture Hanging Strips, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging","E",0.21818256378173828,0.2495778650045395,0.03139530122280121,11,2,9
1902862,97309,"ssd hard drive internal","B07NNRTTCM","Western Digital 1TB WD Green Internal PC SSD Solid State Drive - SATA III 6 Gb/s, 2.5""/7mm, Up to 550 MB/s - WDS100T2G0A","E",0.2552979290485382,0.2877383530139923,0.0324404239654541,1,1,0
136908,5747,"Pockets on both sides. Brown leather. Extra large. ","B07H7S6QBR","Kenneth Cole Reaction Manhattan Commuter Slim Backpack 16"" Laptop Computer & Tablet Travel, Business, Work, School Bookbag, Cognac, Colombian Leather","E",0.19237372279167175,0.23828677833080292,0.045913055539131165,2,1,1
1768723,90261,"samsung s10+ case","B07N9GDT4H","OTTERBOX DEFENDER SERIES SCREENLESS EDITION Case for Galaxy S10+ - BLACK","E",0.2739783227443695,0.35776960849761963,0.08379128575325012,2,1,1
1395518,70905,"motor tool dewalt","B06WW85XHR","DEWALT Angle Grinder Tool, 4-1/2-Inch to 6-Inch, Trigger Switch (DWE43116)","E",0.2694768011569977,0.3447224795818329,0.0752456784248352,1,1,0
100419,4027,"4 1/2 angle grinder","B00Z5LTO7O","Makita GA4542C SJSII High Power Angle Grinder, 4-1/2""","E",0.2543560862541199,0.35114189982414246,0.09678581357002258,1,1,0
216452,9869,"apple watch chargee","B07ZNT29ZF","Powlaken Watch Charger, Magnetic Charging Cable Cord Compatible with Apple Watch Series Se, 6, 5, 4, 3, 2, 1","E",0.09472466260194778,0.23907974362373352,0.14435508847236633,390,2,388
286138,13429,"basketball","B01C5A2WJO","Little Tikes Easy Score Basketball Set, Blue, 3 Balls - Amazon Exclusive","E",0.23265866935253143,0.2383033186197281,0.005644649267196655,2,1,1
94294,3764,"36 inch shower curtain rod","B000ASIK9U","Zenna Home Tension Stall Shower Rod, 27""-40"", White","E",0.24814793467521667,0.3121514916419983,0.06400355696678162,3,1,2
1685607,85921,"reading cushion","B0117SNG0O","Linenspa Shredded Foam Pillow Perfect for Back Support While Relaxing, Gaming, Reading, or Watching TV - Soft Velour Cover, Standard, Stone","E",0.2430918961763382,0.24868695437908173,0.00559505820274353,1,1,0
182942,8122,"all superhero lego sets","B078C9LXCM","LEGO Marvel Super Heroes Avengers: Infinity War Thanos: Ultimate Battle 76107 Guardians of the Galaxy Starship Action Construction Toy (674 Pieces) (Discontinued by Manufacturer)","E",0.23203706741333008,0.2519032955169678,0.019866228103637695,3,1,2
1425318,72406,"nature made multivitamin without iron","B004M7PJBW","Nature Made Maximin Pack, 30 Day Supply","E",0.25953584909439087,0.2904875576496124,0.030951708555221558,1,1,0
653281,32430,"depends night defense large for women","B008RJV1JK","Depend FIT-FLEX Incontinence Underwear for Women, Disposable, Maximum Absorbency, Large, Blush, 52 Count (2 Packs of 26) (Packaging May Vary)","E",0.2609102725982666,0.3316211998462677,0.0707109272480011,2,1,1
1380051,70106,"modern ceiling fan without light","B002K8DBOC","kathy ireland HOME Loft 60 Inch Ceiling Fan | Indoor/Outdoor Fixture with 3 Weather Resistant Blades | Modern Industrial Design with 4-Speed Motor and Wall Control, Barbeque Black","E",0.25812116265296936,0.32270026206970215,0.06457909941673279,3,1,2
364152,17466,"blue shampoo aveda","B0016JDLO6","AVEDA by Aveda: Blue Malva Color Shampoo 33.8 OZ","E",0.3381606936454773,0.37433484196662903,0.03617414832115173,1,1,0
71031,2718,"2 yr old boy toys","B004UU9ZB6","Fisher-Price Harley-Davidson Tough Trike [Amazon Exclusive] , Black","E",0.20654727518558502,0.21050670742988586,0.003959432244300842,6,4,2
2213387,113561,"wood slat bed frame","B074Q4Z46S","ZINUS Trisha Metal Platforma Bed Frame / Wood Slat Support / No Box Spring Needed / Easy Assembly, Twin","E",0.2373436838388443,0.2880149483680725,0.05067126452922821,2,1,1
231455,10636,"ashley longshore","0847866467","Ashley Longshore: I Do Not Cook, I Do Not Clean, I Do Not Fly Commercial","E",0.2661915421485901,0.2952374815940857,0.029045939445495605,1,1,0
849367,42495,"free time unlimited","B078HQBS21","Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Blue Kid-Proof Case (Previous Generation - 8th)","E",0.12525016069412231,0.1891215294599533,0.063871368765831,204,2,202
622744,30858,"curtain tie backs without hooks","B01MSUTJIV","Amazon Basics Decorative Curtain Drapery Holdback, Set of 2, Dark Bronze (Espresso)","E",0.22655406594276428,0.2377602458000183,0.011206179857254028,4,3,1
25748,907,"1 wheel skates without breaks","B08RYXKNCP","JAJAHOHO Roller Skates for Girls, Adjustable Convertible 2-in-1 Skates, Junior Size 6 7 8 9, Tri-Wheels to Inline Skates 3 Wheels, Roller Blades for Kids Boys Toddler Outdoor (Blue, Junior Size 6-9)","E",0.24464468657970428,0.28177347779273987,0.037128791213035583,1,1,0
2043107,104637,"toys for 8 year old boy educations","B07T1NZD27","Sillbird STEM 12-in-1 Education Solar Robot Toys -190 Pieces DIY Building Science Experiment Kit for Kids Aged 8-10 and Older,Solar Powered by The Sun","E",0.2296968251466751,0.23241040110588074,0.0027135759592056274,3,2,1
317924,15085,"best friends girl","B001L9EXSY","My Best Friend's Girl [Blu-ray]","E",0.2241886705160141,0.31772381067276,0.09353514015674591,1,1,0
1284148,65108,"makeup","B00B4YVU4G","NYX PROFESSIONAL MAKEUP Makeup Setting Spray, Matte Finish , 2.03 Fl Oz (Pack of 1)","E",0.1655246913433075,0.18010634183883667,0.014581650495529175,10,7,3
1269888,64398,"lysa terkeurst books it wasnt","0310094348","It's Not Supposed to Be This Way Study Guide: Finding Unexpected Strength When Disappointments Leave You Shattered","E",0.32389938831329346,0.19906239211559296,-0.1248369961977005,1,2,-1
1495623,76059,"orgain organic protein powder under $25","B07PXNNFGT","Orgain Organic Protein + Superfoods Powder, Vanilla Bean - 21g of Protein, Vegan, Plant Based, 5g of Fiber, No Dairy, Gluten, Soy or Added Sugar, Non-GMO, 2.02lb","E",0.3428768217563629,0.4200514256954193,0.0771746039390564,1,1,0
1061944,53655,"intex pool cover 32 x 16","B075R75Q8T","Intex 28051 Solar Roller","E",0.1605958789587021,0.25224125385284424,0.09164537489414215,66,2,64
